,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
2349,41401040001nyc,4140104nyc,4nyc,2018,0.0,86,0.0,0.0,0.0,22,59.0909,95.4545,0.0,0.0,nyc
2350,41401040001nyc,4140104nyc,4nyc,2019,0.0,97,0.0,0.0,0.0,29,58.6207,86.2069,0.0,3.4483,nyc
2351,41401040001nyc,4140104nyc,4nyc,2021,0.0,87,0.46,0.0,0.92,30,33.3333,96.6667,0.0,0.0,nyc
2415,42400010013nyc,4240001nyc,4nyc,2017,0.0,87,0.0,0.0,0.0,190,51.0526,84.7368,7.3684,1.0526,nyc
2416,42400010013nyc,4240001nyc,4nyc,2018,0.0,74,0.0,0.0,0.0,158,50.6329,84.1772,7.5949,1.8987,nyc
2417,42400010013nyc,4240001nyc,4nyc,2019,0.0,80,0.0,0.0,0.0,152,44.0789,82.2368,2.6316,5.9211,nyc
2418,42400010013nyc,4240001nyc,4nyc,2021,0.0,93,0.22,0.04,0.36,75,46.6667,86.6667,4.0,2.6667,nyc
2419,42801060006nyc,4280106nyc,4nyc,2017,0.0,83,0.0,0.0,0.0,104,59.6154,80.7692,0.9615,1.9231,nyc
2420,42801060006nyc,4280106nyc,4nyc,2018,0.0,68,0.0,0.0,0.0,112,62.5,66.0714,0.8929,1.7857,nyc
2421,42801060006nyc,4280106nyc,4nyc,2019,0.0,83,0.0,0.0,0.0,113,61.9469,59.292,0.0,2.6549,nyc
2422,42801060006nyc,4280106nyc,4nyc,2021,0.0,85,0.5,0.08,0.84,59,45.7627,66.1017,0.0,6.7797,nyc
2423,42901040002nyc,4290104nyc,4nyc,2017,0.0,85,0.0,0.0,0.0,68,57.3529,97.0588,1.4706,0.0,nyc
2424,42901040002nyc,4290104nyc,4nyc,2018,0.0,80,0.0,0.0,0.0,82,50.0,97.561,0.0,0.0,nyc
2425,42901040002nyc,4290104nyc,4nyc,2019,0.0,92,0.0,0.0,0.0,83,38.5542,92.7711,1.2048,3.6145,nyc
2426,42901040002nyc,4290104nyc,4nyc,2021,0.0,90,0.0,0.0,0.0,82,30.4878,97.561,0.0,0.0,nyc
2427,43001040002nyc,4300104nyc,4nyc,2017,0.0,97,0.0,0.0,0.0,67,53.7313,94.0299,0.0,1.4925,nyc
2428,43001040002nyc,4300104nyc,4nyc,2018,0.0,89,0.0,0.0,0.0,73,41.0959,93.1507,0.0,1.3699,nyc
2429,43001040002nyc,4300104nyc,4nyc,2019,0.0,96,0.0,0.0,0.0,73,50.6849,86.3014,0.0,1.3699,nyc
2430,43001040002nyc,4300104nyc,4nyc,2021,0.0,100,0.44,0.0,0.88,26,42.3077,76.9231,0.0,11.5385,nyc
2462,43200050002nyc,4320005nyc,4nyc,2017,0.0,84,0.0,0.0,0.0,73,54.7945,57.5342,0.0,4.1096,nyc
2463,43200050002nyc,4320005nyc,4nyc,2018,0.0,59,0.0,0.0,0.0,83,62.6506,62.6506,0.0,4.8193,nyc
2464,43200050002nyc,4320005nyc,4nyc,2019,0.0,74,0.0,0.0,0.0,90,54.4444,45.5556,1.1111,2.2222,nyc
2465,43200050002nyc,4320005nyc,4nyc,2021,0.0,76,0.46,0.08,0.76,54,40.7407,55.5556,0.0,5.5556,nyc
2466,43501060006nyc,4350106nyc,4nyc,2017,0.0,89,0.0,0.0,0.0,184,51.6304,96.1957,0.5435,1.6304,nyc
2467,43501060006nyc,4350106nyc,4nyc,2018,0.0,84,0.0,0.0,0.0,197,51.7766,96.9543,1.5228,0.5076,nyc
2468,43501060006nyc,4350106nyc,4nyc,2019,0.0,87,0.0,0.0,0.0,205,53.6585,97.0732,1.9512,0.4878,nyc
2469,43501060006nyc,4350106nyc,4nyc,2021,0.0,89,0.44,0.0,0.88,9,66.6667,88.8889,0.0,11.1111,nyc
2665,50100010013nyc,5010001nyc,5nyc,2017,0.0,86,0.0,0.0,0.0,290,46.5517,79.6552,12.4138,4.8276,nyc
2666,50100010013nyc,5010001nyc,5nyc,2018,0.0,77,0.0,0.0,0.0,273,42.1245,81.3187,11.3553,3.2967,nyc
2667,50100010013nyc,5010001nyc,5nyc,2019,0.0,80,0.0,0.0,0.0,315,43.1746,79.6825,9.8413,3.1746,nyc
2668,50100010013nyc,5010001nyc,5nyc,2021,0.0,60,0.46,0.0,0.92,5,20.0,60.0,0.0,20.0,nyc
2669,50301040002nyc,5030104nyc,5nyc,2017,0.0,88,0.0,0.0,0.0,86,27.907,93.0233,2.3256,1.1628,nyc
2670,50301040002nyc,5030104nyc,5nyc,2018,0.0,87,0.0,0.0,0.0,67,29.8507,92.5373,0.0,2.9851,nyc
2671,50301040002nyc,5030104nyc,5nyc,2019,0.0,92,0.0,0.0,0.0,60,23.3333,93.3333,0.0,1.6667,nyc
2672,50301040002nyc,5030104nyc,5nyc,2021,0.0,100,0.26,0.0,0.52,29,6.8966,89.6552,0.0,0.0,nyc
2673,50401040003nyc,5040104nyc,5nyc,2017,0.0,93,0.0,0.0,0.0,82,36.5854,92.6829,1.2195,2.439,nyc
2674,50401040003nyc,5040104nyc,5nyc,2018,0.0,80,0.0,0.0,0.0,65,40.0,95.3846,1.5385,0.0,nyc
2675,50401040003nyc,5040104nyc,5nyc,2019,0.0,93,0.0,0.0,0.0,90,41.1111,93.3333,1.1111,1.1111,nyc
2676,50401040003nyc,5040104nyc,5nyc,2021,0.0,89,0.46,0.0,0.92,19,21.0526,84.2105,0.0,5.2632,nyc
2677,50701040005nyc,5070104nyc,5nyc,2017,0.0,92,0.0,0.0,0.0,48,50.0,91.6667,0.0,8.3333,nyc
2678,50701040005nyc,5070104nyc,5nyc,2018,0.0,93,0.0,0.0,0.0,41,51.2195,90.2439,0.0,9.7561,nyc
2679,50701040005nyc,5070104nyc,5nyc,2019,0.0,92,0.0,0.0,0.0,53,39.6226,92.4528,0.0,5.6604,nyc
2680,50701040005nyc,5070104nyc,5nyc,2021,0.0,91,0.5,0.08,0.84,54,50.0,75.9259,0.0,16.6667,nyc
2692,51101040004nyc,5110104nyc,5nyc,2017,0.0,83,0.0,0.0,0.0,94,35.1064,97.8723,1.0638,0.0,nyc
2693,51101040004nyc,5110104nyc,5nyc,2018,0.0,74,0.0,0.0,0.0,94,51.0638,91.4894,2.1277,2.1277,nyc
2694,51101040004nyc,5110104nyc,5nyc,2019,0.0,82,0.0,0.0,0.0,78,38.4615,96.1538,0.0,2.5641,nyc
2695,51101040004nyc,5110104nyc,5nyc,2021,0.0,81,0.16,0.16,0.0,47,38.2979,97.8723,0.0,2.1277,nyc
2731,51301040003nyc,5130104nyc,5nyc,2017,0.0,95,0.0,0.0,0.0,73,38.3562,94.5205,0.0,2.7397,nyc
2732,51301040003nyc,5130104nyc,5nyc,2018,0.0,82,0.0,0.0,0.0,74,45.9459,94.5946,1.3514,1.3514,nyc
2733,51301040003nyc,5130104nyc,5nyc,2019,0.0,85,0.0,0.0,0.0,73,43.8356,95.8904,1.3699,0.0,nyc
2734,51301040003nyc,5130104nyc,5nyc,2021,0.0,95,0.46,0.08,0.76,57,38.5965,91.2281,0.0,3.5088,nyc
2737,51901040005nyc,5190104nyc,5nyc,2017,0.0,100,0.0,0.0,0.0,74,20.2703,97.2973,0.0,2.7027,nyc
2738,51901040005nyc,5190104nyc,5nyc,2018,0.0,94,0.0,0.0,0.0,62,50.0,88.7097,3.2258,6.4516,nyc
2739,51901040005nyc,5190104nyc,5nyc,2019,0.0,94,0.0,0.0,0.0,82,35.3659,89.0244,4.878,2.439,nyc
2740,51901040005nyc,5190104nyc,5nyc,2021,0.0,85,0.5,0.08,0.84,33,42.4242,84.8485,3.0303,9.0909,nyc
3077,60201060003nyc,6020106nyc,6nyc,2017,0.0,94,0.0,0.0,0.0,114,29.8246,90.3509,0.0,1.7544,nyc
3078,60201060003nyc,6020106nyc,6nyc,2018,0.0,87,0.0,0.0,0.0,107,34.5794,92.5234,0.0,1.8692,nyc
3079,60201060003nyc,6020106nyc,6nyc,2019,0.0,93,0.0,0.0,0.0,104,36.5385,89.4231,1.9231,0.9615,nyc
3080,60201060003nyc,6020106nyc,6nyc,2021,0.0,83,0.44,0.0,0.88,18,44.4444,83.3333,0.0,5.5556,nyc
3081,60301040004nyc,6030104nyc,6nyc,2017,0.0,90,0.0,0.0,0.0,48,31.25,100.0,0.0,0.0,nyc
3082,60301040004nyc,6030104nyc,6nyc,2018,0.0,88,0.0,0.0,0.0,64,32.8125,93.75,0.0,1.5625,nyc
3083,60301040004nyc,6030104nyc,6nyc,2019,0.0,94,0.0,0.0,0.0,67,41.791,91.0448,0.0,4.4776,nyc
3084,60301040004nyc,6030104nyc,6nyc,2021,0.0,100,0.0,0.0,0.0,7,42.8571,100.0,0.0,0.0,nyc
3085,60401040006nyc,6040104nyc,6nyc,2017,0.0,83,0.0,0.0,0.0,82,50.0,89.0244,1.2195,7.3171,nyc
3086,60401040006nyc,6040104nyc,6nyc,2018,0.0,87,0.0,0.0,0.0,60,48.3333,93.3333,1.6667,5.0,nyc
3087,60401040006nyc,6040104nyc,6nyc,2019,0.0,96,0.0,0.0,0.0,70,42.8571,94.2857,0.0,2.8571,nyc
3088,60401040006nyc,6040104nyc,6nyc,2021,0.0,85,0.46,0.0,0.92,52,50.0,90.3846,7.6923,1.9231,nyc
3089,60503040001nyc,6050304nyc,6nyc,2017,0.0,94,0.0,0.0,0.0,84,36.9048,95.2381,0.0,2.381,nyc
3090,60503040001nyc,6050304nyc,6nyc,2018,0.0,89,0.0,0.0,0.0,63,26.9841,96.8254,0.0,1.5873,nyc
3091,60503040001nyc,6050304nyc,6nyc,2019,0.0,93,0.0,0.0,0.0,67,40.2985,97.0149,0.0,1.4925,nyc
3092,60503040001nyc,6050304nyc,6nyc,2021,0.0,96,0.0,0.0,0.0,54,29.6296,96.2963,0.0,1.8519,nyc
3093,60601040003nyc,6060104nyc,6nyc,2017,0.0,96,0.0,0.0,0.0,33,48.4848,100.0,0.0,0.0,nyc
3094,60601040003nyc,6060104nyc,6nyc,2018,0.0,74,0.0,0.0,0.0,35,51.4286,91.4286,0.0,5.7143,nyc
3095,60601040003nyc,6060104nyc,6nyc,2019,0.0,81,0.0,0.0,0.0,37,62.1622,94.5946,0.0,0.0,nyc
3096,60601040003nyc,6060104nyc,6nyc,2021,0.0,93,0.46,0.0,0.92,41,48.7805,95.122,0.0,0.0,nyc
3097,60701040003nyc,6070104nyc,6nyc,2017,0.0,91,0.0,0.0,0.0,37,35.1351,94.5946,0.0,0.0,nyc
3098,60701040003nyc,6070104nyc,6nyc,2018,0.0,85,0.0,0.0,0.0,39,51.2821,97.4359,0.0,0.0,nyc
3099,60701040003nyc,6070104nyc,6nyc,2019,0.0,90,0.0,0.0,0.0,30,50.0,83.3333,0.0,3.3333,nyc
3100,60701040003nyc,6070104nyc,6nyc,2021,0.0,77,0.0,0.0,0.0,22,40.9091,81.8182,4.5455,9.0909,nyc
3101,60800010009nyc,6080001nyc,6nyc,2017,0.0,73,0.0,0.0,0.0,137,66.4234,35.0365,6.5693,56.2044,nyc
3102,60800010009nyc,6080001nyc,6nyc,2018,0.0,68,0.0,0.0,0.0,181,60.7735,37.0166,7.7348,51.3812,nyc
3103,60800010009nyc,6080001nyc,6nyc,2019,0.0,72,0.0,0.0,0.0,169,72.1893,40.8284,7.1006,49.1124,nyc
3104,60800010009nyc,6080001nyc,6nyc,2021,0.0,88,0.88,0.84,0.08,8,75.0,62.5,12.5,25.0,nyc
3105,61001040005nyc,6100104nyc,6nyc,2017,0.0,94,0.0,0.0,0.0,67,26.8657,95.5224,2.9851,0.0,nyc
3106,61001040005nyc,6100104nyc,6nyc,2018,0.0,94,0.0,0.0,0.0,62,20.9677,91.9355,3.2258,3.2258,nyc
3107,61001040005nyc,6100104nyc,6nyc,2019,0.0,94,0.0,0.0,0.0,53,24.5283,94.3396,1.8868,1.8868,nyc
3108,61001040005nyc,6100104nyc,6nyc,2021,0.0,91,0.48,0.04,0.88,23,4.3478,91.3043,0.0,0.0,nyc
3132,61101040007nyc,6110104nyc,6nyc,2017,0.0,76,0.0,0.0,0.0,100,48.0,96.0,2.0,1.0,nyc
3133,61101040007nyc,6110104nyc,6nyc,2018,0.0,84,0.0,0.0,0.0,111,46.8468,94.5946,2.7027,2.7027,nyc
3134,61101040007nyc,6110104nyc,6nyc,2019,0.0,84,0.0,0.0,0.0,97,51.5464,94.8454,1.0309,2.0619,nyc
3135,61101040007nyc,6110104nyc,6nyc,2021,0.0,87,0.26,0.0,0.52,30,26.6667,96.6667,0.0,3.3333,nyc
3136,61501040001nyc,6150104nyc,6nyc,2017,0.0,92,0.0,0.0,0.0,79,50.6329,84.8101,0.0,3.7975,nyc
3137,61501040001nyc,6150104nyc,6nyc,2018,0.0,89,0.0,0.0,0.0,71,50.7042,71.831,0.0,9.8592,nyc
3138,61501040001nyc,6150104nyc,6nyc,2019,0.0,89,0.0,0.0,0.0,90,55.5556,80.0,1.1111,6.6667,nyc
3139,61501040001nyc,6150104nyc,6nyc,2021,0.0,78,0.46,0.0,0.92,46,54.3478,78.2609,2.1739,2.1739,nyc
3140,61503040003nyc,6150304nyc,6nyc,2017,0.0,91,0.0,0.0,0.0,41,60.9756,95.122,0.0,4.878,nyc
3141,61503040003nyc,6150304nyc,6nyc,2018,0.0,82,0.0,0.0,0.0,34,61.7647,79.4118,2.9412,14.7059,nyc
3142,61503040003nyc,6150304nyc,6nyc,2019,0.0,91,0.0,0.0,0.0,47,44.6809,87.234,0.0,6.383,nyc
3143,61503040003nyc,6150304nyc,6nyc,2021,0.0,0,0.46,0.0,0.92,3,0.0,66.6667,0.0,0.0,nyc
3144,61601040001nyc,6160104nyc,6nyc,2017,0.0,84,0.0,0.0,0.0,33,45.4545,93.9394,0.0,6.0606,nyc
3145,61601040001nyc,6160104nyc,6nyc,2018,0.0,88,0.0,0.0,0.0,51,35.2941,96.0784,0.0,1.9608,nyc
3146,61601040001nyc,6160104nyc,6nyc,2019,0.0,100,0.0,0.0,0.0,37,35.1351,94.5946,0.0,2.7027,nyc
3147,61601040001nyc,6160104nyc,6nyc,2021,0.0,92,0.46,0.0,0.92,26,42.3077,96.1538,0.0,3.8462,nyc
3148,61700010013nyc,6170001nyc,6nyc,2017,0.0,87,0.0,0.0,0.0,299,55.8528,65.8863,5.6856,17.0569,nyc
3149,61700010013nyc,6170001nyc,6nyc,2018,0.0,83,0.0,0.0,0.0,324,59.5679,68.5185,5.8642,14.1975,nyc
3150,61700010013nyc,6170001nyc,6nyc,2019,0.0,85,0.0,0.0,0.0,335,60.8955,65.6716,6.8657,18.806,nyc
3151,61700010013nyc,6170001nyc,6nyc,2021,0.0,82,0.52,0.04,0.96,51,64.7059,80.3922,5.8824,5.8824,nyc
3178,62201060003nyc,6220106nyc,6nyc,2017,0.0,94,0.0,0.0,0.0,129,28.6822,89.9225,0.0,7.7519,nyc
3179,62201060003nyc,6220106nyc,6nyc,2018,0.0,81,0.0,0.0,0.0,137,32.8467,78.1022,1.4599,15.3285,nyc
3180,62201060003nyc,6220106nyc,6nyc,2019,0.0,90,0.0,0.0,0.0,137,34.3066,80.292,2.1898,15.3285,nyc
3181,62201060003nyc,6220106nyc,6nyc,2021,0.0,83,0.42,0.0,0.84,47,27.6596,78.7234,0.0,14.8936,nyc
3182,62301040003nyc,6230104nyc,6nyc,2017,0.0,93,0.0,0.0,0.0,46,43.4783,91.3043,0.0,4.3478,nyc
3183,62301040003nyc,6230104nyc,6nyc,2018,0.0,68,0.0,0.0,0.0,38,68.4211,81.5789,0.0,10.5263,nyc
3184,62301040003nyc,6230104nyc,6nyc,2019,0.0,81,0.0,0.0,0.0,43,51.1628,90.6977,0.0,6.9767,nyc
3185,62301040003nyc,6230104nyc,6nyc,2021,0.0,81,0.46,0.0,0.92,26,61.5385,96.1538,0.0,3.8462,nyc
3186,62601040003nyc,6260104nyc,6nyc,2017,0.0,90,0.0,0.0,0.0,31,64.5161,83.871,6.4516,9.6774,nyc
3187,62601040003nyc,6260104nyc,6nyc,2018,0.0,91,0.0,0.0,0.0,46,52.1739,97.8261,2.1739,0.0,nyc
3188,62601040003nyc,6260104nyc,6nyc,2019,0.0,100,0.0,0.0,0.0,36,63.8889,97.2222,0.0,2.7778,nyc
3189,62601040003nyc,6260104nyc,6nyc,2021,0.0,87,0.46,0.0,0.92,23,65.2174,82.6087,0.0,8.6957,nyc
3190,62901040002nyc,6290104nyc,6nyc,2017,0.0,97,0.0,0.0,0.0,53,49.0566,90.566,1.8868,5.6604,nyc
3191,62901040002nyc,6290104nyc,6nyc,2018,0.0,95,0.0,0.0,0.0,58,55.1724,98.2759,0.0,1.7241,nyc
3192,62901040002nyc,6290104nyc,6nyc,2019,0.0,91,0.0,0.0,0.0,56,50.0,87.5,0.0,8.9286,nyc
3193,62901040002nyc,6290104nyc,6nyc,2021,0.0,74,0.48,0.08,0.8,35,48.5714,91.4286,5.7143,2.8571,nyc
3444,70600010020nyc,7060001nyc,7nyc,2017,0.0,84,0.0,0.0,0.0,376,50.0,75.5319,20.7447,1.0638,nyc
3445,70600010020nyc,7060001nyc,7nyc,2018,0.0,80,0.0,0.0,0.0,383,51.6971,71.8016,21.4099,2.8721,nyc
3446,70600010020nyc,7060001nyc,7nyc,2019,0.0,84,0.0,0.0,0.0,407,47.9115,78.6241,15.7248,1.7199,nyc
3447,70600010020nyc,7060001nyc,7nyc,2021,0.0,87,0.5,0.08,0.84,15,46.6667,93.3333,6.6667,0.0,nyc
3448,70901060007nyc,7090106nyc,7nyc,2017,0.0,89,0.0,0.0,0.0,294,30.2721,89.1156,2.0408,2.7211,nyc
3449,70901060007nyc,7090106nyc,7nyc,2018,0.0,83,0.0,0.0,0.0,358,27.6536,90.7821,1.9553,1.1173,nyc
3450,70901060007nyc,7090106nyc,7nyc,2019,0.0,91,0.0,0.0,0.0,331,29.9094,89.7281,2.4169,2.1148,nyc
3451,70901060007nyc,7090106nyc,7nyc,2021,0.0,92,0.2,0.0,0.4,25,24.0,88.0,0.0,4.0,nyc
3455,80101040003nyc,8010104nyc,8nyc,2017,0.0,80,0.0,0.0,0.0,35,71.4286,94.2857,2.8571,2.8571,nyc
3456,80101040003nyc,8010104nyc,8nyc,2018,0.0,88,0.0,0.0,0.0,42,59.5238,95.2381,0.0,2.381,nyc
3457,80101040003nyc,8010104nyc,8nyc,2019,0.0,89,0.0,0.0,0.0,36,36.1111,91.6667,0.0,2.7778,nyc
3458,80101040003nyc,8010104nyc,8nyc,2021,0.0,91,0.3,0.0,0.6,23,47.8261,78.2609,8.6957,4.3478,nyc
3459,80201040001nyc,8020104nyc,8nyc,2017,0.0,94,0.0,0.0,0.0,58,32.7586,91.3793,0.0,5.1724,nyc
3460,80201040001nyc,8020104nyc,8nyc,2018,0.0,99,0.0,0.0,0.0,68,42.6471,94.1176,1.4706,0.0,nyc
3461,80201040001nyc,8020104nyc,8nyc,2019,0.0,98,0.0,0.0,0.0,48,54.1667,97.9167,0.0,0.0,nyc
3462,80201040001nyc,8020104nyc,8nyc,2021,0.0,73,0.28,0.0,0.56,11,54.5455,81.8182,0.0,0.0,nyc
3463,80601040003nyc,8060104nyc,8nyc,2017,0.0,88,0.0,0.0,0.0,76,51.3158,96.0526,1.3158,1.3158,nyc
3464,80601040003nyc,8060104nyc,8nyc,2018,0.0,87,0.0,0.0,0.0,77,49.3506,92.2078,0.0,5.1948,nyc
3465,80601040003nyc,8060104nyc,8nyc,2019,0.0,94,0.0,0.0,0.0,72,40.2778,94.4444,0.0,2.7778,nyc
3466,80601040003nyc,8060104nyc,8nyc,2021,0.0,100,0.26,0.0,0.52,16,25.0,93.75,0.0,0.0,nyc
3467,81003040003nyc,8100304nyc,8nyc,2017,0.0,70,0.0,0.0,0.0,56,64.2857,91.0714,1.7857,1.7857,nyc
3468,81003040003nyc,8100304nyc,8nyc,2018,0.0,78,0.0,0.0,0.0,67,53.7313,91.0448,2.9851,1.4925,nyc
3469,81003040003nyc,8100304nyc,8nyc,2019,0.0,91,0.0,0.0,0.0,68,63.2353,94.1176,2.9412,0.0,nyc
3470,81003040003nyc,8100304nyc,8nyc,2021,0.0,40,0.38,0.0,0.76,5,100.0,100.0,0.0,0.0,nyc
3471,81200050004nyc,8120005nyc,8nyc,2017,0.0,88,0.0,0.0,0.0,146,43.8356,89.726,3.4247,4.1096,nyc
3472,81200050004nyc,8120005nyc,8nyc,2018,0.0,75,0.0,0.0,0.0,156,54.4872,89.1026,6.4103,3.2051,nyc
3473,81200050004nyc,8120005nyc,8nyc,2019,0.0,73,0.0,0.0,0.0,162,55.5556,89.5062,3.7037,4.321,nyc
3474,81200050004nyc,8120005nyc,8nyc,2021,0.0,94,0.04,0.04,0.0,65,30.7692,84.6154,9.2308,1.5385,nyc
3475,81401040001nyc,8140104nyc,8nyc,2017,0.0,75,0.0,0.0,0.0,31,35.4839,100.0,0.0,0.0,nyc
3476,81401040001nyc,8140104nyc,8nyc,2018,0.0,82,0.0,0.0,0.0,28,64.2857,89.2857,3.5714,7.1429,nyc
3477,81401040001nyc,8140104nyc,8nyc,2019,0.0,94,0.0,0.0,0.0,32,43.75,96.875,0.0,3.125,nyc
3478,81401040001nyc,8140104nyc,8nyc,2021,0.0,68,0.1,0.04,0.12,22,54.5455,95.4545,0.0,4.5455,nyc
3479,81501040002nyc,8150104nyc,8nyc,2017,0.0,94,0.0,0.0,0.0,55,58.1818,92.7273,1.8182,3.6364,nyc
3480,81501040002nyc,8150104nyc,8nyc,2018,0.0,86,0.0,0.0,0.0,57,70.1754,87.7193,3.5088,5.2632,nyc
3481,81501040002nyc,8150104nyc,8nyc,2019,0.0,83,0.0,0.0,0.0,66,57.5758,92.4242,1.5152,4.5455,nyc
3482,81501040002nyc,8150104nyc,8nyc,2021,0.0,91,0.48,0.0,0.96,44,50.0,88.6364,0.0,6.8182,nyc
3483,82001040004nyc,8200104nyc,8nyc,2017,0.0,83,0.0,0.0,0.0,89,44.9438,96.6292,2.2472,0.0,nyc
3484,82001040004nyc,8200104nyc,8nyc,2018,0.0,73,0.0,0.0,0.0,98,48.9796,98.9796,0.0,1.0204,nyc
3485,82001040004nyc,8200104nyc,8nyc,2019,0.0,89,0.0,0.0,0.0,95,54.7368,95.7895,0.0,1.0526,nyc
3486,82001040004nyc,8200104nyc,8nyc,2021,0.0,77,0.46,0.0,0.92,13,38.4615,100.0,0.0,0.0,nyc
3487,90201040002nyc,9020104nyc,9nyc,2017,0.0,92,0.0,0.0,0.0,80,53.75,97.5,1.25,1.25,nyc
3488,90201040002nyc,9020104nyc,9nyc,2018,0.0,84,0.0,0.0,0.0,75,45.3333,100.0,0.0,0.0,nyc
3489,90201040002nyc,9020104nyc,9nyc,2019,0.0,88,0.0,0.0,0.0,81,59.2593,92.5926,3.7037,2.4691,nyc
3490,90201040002nyc,9020104nyc,9nyc,2021,0.0,60,0.54,0.16,0.76,25,32.0,100.0,0.0,0.0,nyc
3491,90301060006nyc,9030106nyc,9nyc,2017,0.0,88,0.0,0.0,0.0,133,51.1278,95.4887,0.7519,3.0075,nyc
3492,90301060006nyc,9030106nyc,9nyc,2018,0.0,85,0.0,0.0,0.0,153,46.4052,94.7712,3.268,0.0,nyc
3493,90301060006nyc,9030106nyc,9nyc,2019,0.0,85,0.0,0.0,0.0,163,42.9448,96.9325,0.6135,1.227,nyc
3494,90301060006nyc,9030106nyc,9nyc,2021,0.0,80,0.54,0.16,0.76,20,25.0,100.0,0.0,0.0,nyc
3495,90501040002nyc,9050104nyc,9nyc,2017,0.0,93,0.0,0.0,0.0,97,30.9278,94.8454,1.0309,4.1237,nyc
3496,90501040002nyc,9050104nyc,9nyc,2018,0.0,93,0.0,0.0,0.0,104,34.6154,93.2692,0.9615,1.9231,nyc
3497,90501040002nyc,9050104nyc,9nyc,2019,0.0,94,0.0,0.0,0.0,104,33.6538,96.1538,1.9231,0.0,nyc
3498,90501040002nyc,9050104nyc,9nyc,2021,0.0,72,0.56,0.12,0.88,18,55.5556,94.4444,0.0,0.0,nyc
3499,90601020002nyc,9060102nyc,9nyc,2017,0.0,100,0.0,0.0,0.0,32,9.375,100.0,0.0,0.0,nyc
3500,90601020002nyc,9060102nyc,9nyc,2018,0.0,82,0.0,0.0,0.0,28,28.5714,100.0,0.0,0.0,nyc
3501,90601020002nyc,9060102nyc,9nyc,2019,0.0,97,0.0,0.0,0.0,36,22.2222,100.0,0.0,0.0,nyc
3502,90601020002nyc,9060102nyc,9nyc,2021,0.0,0,0.46,0.04,0.84,3,0.0,100.0,0.0,0.0,nyc
3503,90901040002nyc,9090104nyc,9nyc,2017,0.0,97,0.0,0.0,0.0,44,47.7273,97.7273,0.0,0.0,nyc
3504,90901040002nyc,9090104nyc,9nyc,2018,0.0,100,0.0,0.0,0.0,61,42.623,96.7213,0.0,0.0,nyc
3505,90901040002nyc,9090104nyc,9nyc,2019,0.0,100,0.0,0.0,0.0,64,45.3125,100.0,0.0,0.0,nyc
3506,90901040002nyc,9090104nyc,9nyc,2021,0.0,92,0.54,0.16,0.76,12,41.6667,100.0,0.0,0.0,nyc
3507,91101060005nyc,9110106nyc,9nyc,2017,0.0,84,0.0,0.0,0.0,146,37.6712,97.2603,2.0548,0.0,nyc
3508,91101060005nyc,9110106nyc,9nyc,2018,0.0,75,0.0,0.0,0.0,161,41.6149,90.0621,6.2112,0.0,nyc
3509,91101060005nyc,9110106nyc,9nyc,2019,0.0,88,0.0,0.0,0.0,161,41.6149,93.1677,2.4845,0.0,nyc
3510,91101060005nyc,9110106nyc,9nyc,2021,0.0,97,0.52,0.04,0.96,34,23.5294,94.1176,2.9412,0.0,nyc
3511,91200010006nyc,9120001nyc,9nyc,2017,0.0,87,0.0,0.0,0.0,141,47.5177,83.6879,11.3475,1.4184,nyc
3512,91200010006nyc,9120001nyc,9nyc,2018,0.0,73,0.0,0.0,0.0,139,48.9209,82.7338,10.0719,1.4388,nyc
3513,91200010006nyc,9120001nyc,9nyc,2019,0.0,88,0.0,0.0,0.0,143,44.7552,86.014,9.0909,1.3986,nyc
3514,91200010006nyc,9120001nyc,9nyc,2021,0.0,88,0.34,0.2,0.28,25,32.0,80.0,0.0,4.0,nyc
3515,91402060005nyc,9140206nyc,9nyc,2017,0.0,87,0.0,0.0,0.0,111,34.2342,96.3964,1.8018,0.0,nyc
3516,91402060005nyc,9140206nyc,9nyc,2018,0.0,82,0.0,0.0,0.0,111,43.2432,98.1982,0.9009,0.9009,nyc
3517,91402060005nyc,9140206nyc,9nyc,2019,0.0,93,0.0,0.0,0.0,103,36.8932,95.1456,1.9417,0.9709,nyc
3518,91402060005nyc,9140206nyc,9nyc,2021,0.0,89,0.54,0.16,0.76,19,68.4211,100.0,0.0,0.0,nyc
